acc_mean_x,acc_std_x,acc_range_x,acc_rms_x,acc_sma_x,acc_mad_x,acc_zcr_x,acc_mean_y,acc_std_y,acc_range_y,acc_rms_y,acc_sma_y,acc_mad_y,acc_zcr_y,acc_mean_z,acc_std_z,acc_range_z,acc_rms_z,acc_sma_z,acc_mad_z,acc_zcr_z,gyro_mean_x,gyro_std_x,gyro_range_x,gyro_rms_x,gyro_sma_x,gyro_mad_x,gyro_zcr_x,gyro_mean_y,gyro_std_y,gyro_range_y,gyro_rms_y,gyro_sma_y,gyro_mad_y,gyro_zcr_y,gyro_mean_z,gyro_std_z,gyro_range_z,gyro_rms_z,gyro_sma_z,gyro_mad_z,gyro_zcr_z,acc_magnitude_mean,acc_magnitude_std,acc_dom_freq_x,acc_dom_freq_magnitude_x,acc_dom_freq_y,acc_dom_freq_magnitude_y,acc_dom_freq_z,acc_dom_freq_magnitude_z,gyro_dom_freq_x,gyro_dom_freq_magnitude_x,gyro_dom_freq_y,gyro_dom_freq_magnitude_y,gyro_dom_freq_z,gyro_dom_freq_magnitude_z,Label
-2.92013118,0.434873207931662,2.304419,2.95220669272276,2.92013118,0.3645254184,6,0.73875962,0.187625733470366,0.963666,0.762120973559576,0.73875962,0.14701614672,12,7.583495008,0.267145750149757,3.227384,7.58818014551425,7.583495008,0.169607800128,15,0.08145862,0.0820032281304759,0.281651,0.115469208356289,0.09487766,0.0671763496,11,0.022834748,0.142866358437757,0.754622,0.144397295348618,0.10942014,0.108763047776,18,-0.37166718,0.242554184031925,0.810312,0.443546722174542,0.384698268,0.20533965824,5,8.17345141589795,0.267973593880209,0,2.92013118,0,0.73875962,0,7.583495008,0,0.08145862,2,0.107544296981743,0,0.37166718,3
3.59335196,0.420296087079095,4.07972,3.61775075344427,3.59335196,0.31632644608,6,0.782271904,0.186853712808453,1.077391,0.80419150986449,0.782271904,0.159453521408,7,7.612867076,0.50279667965898,7.845799,7.62938650219771,7.612867076,0.166926385472,13,-0.139811784,0.0879132884439518,0.27872,0.165061098521584,0.139811784,0.082404835648,1,0.035581264,0.0828880844364525,0.486028,0.0900498703564642,0.063711184,0.058163228928,12,-0.333798612,0.312532572602273,0.927023,0.456845067692289,0.338300756,0.294018215936,1,8.46529187069024,0.531362235984349,0,3.59335196,0,0.782271904,0,7.612867076,0,0.139811784,2.4,0.0557359700793972,0.4,0.407716040289104,3
2.10650486,0.269299410830427,1.194707,2.12358065756555,2.10650486,0.22085251536,7,-4.256794828,0.159248304307335,1.504756,4.25976064938191,4.256794828,0.121009909984,7,7.096662796,0.1940951473228,2.183512,7.09930595724962,7.096662796,0.128391064576,12,-0.094414068,0.0723810901643578,0.262732,0.11887843522202,0.099564252,0.064786252544,3,0.10720532,0.0951694795460702,0.348533,0.14322702801505,0.107836296,0.08639910048,1,-0.203663684,0.228109987887035,0.728775,0.305458550523602,0.241200764,0.213929246528,1,8.54558209141024,0.168645063513255,0,2.10650486,0,4.256794828,0,7.096662796,0,0.094414068,0.4,0.119304909315054,0.4,0.294842211180079,3
0.93253198,0.759289778070521,4.1288,1.20159509691775,0.999330188,0.62562455712,9,-0.717599728,0.682163786141712,2.715025,0.989158941234611,0.799002576,0.580460116416,8,8.139725504,0.37873941243466,2.881422,8.14849685824504,8.139725504,0.300444671616,10,-0.030497192,0.124094016034656,0.532925,0.127545310522308,0.099297776,0.100029464576,6,0.077484056,0.196153444987558,0.944077,0.210537522116073,0.15586452,0.151260338304,13,-0.524604916,0.52424923360119,1.799954,0.740910404696193,0.610842836,0.461020809312,4,8.29028122299772,0.303103890233847,0,0.93253198,0,0.717599728,0,8.139725504,0.8,0.110832879032142,0.4,0.157847482388804,0.4,0.664873948613217,3
0.236278932,0.451291670288765,2.422932,0.508603233073086,0.3517465,0.300602864192,11,-0.272297312,0.419985795123221,2.15119,0.499828312478683,0.452465768,0.267334018304,5,8.154363736,0.196530031182894,2.38223,8.15672222745975,8.154363736,0.10268817248,17,0.012111264,0.0904842705797849,0.385305,0.0911116695332931,0.063033304,0.0674472176,1,-0.035134672,0.172553946033265,0.815109,0.17575610945578,0.105386992,0.117998594304,2,-0.3112388,0.320927149359965,0.997369,0.446600323422373,0.31554484,0.275723,3,8.18544865014232,0.198015968451884,0.4,0.414914699847437,0.4,0.381323900313574,0,8.154363736,0.4,0.0886880022261434,0.4,0.162668429560188,0.4,0.362606661430239,3
0.64789014,0.3662304837593,1.601721,0.743874923407727,0.685910076,0.30366302176,6,-0.246080844,0.290391684313704,1.642423,0.380191797361579,0.31977438,0.190736728704,10,8.17660102,0.528966334737509,8.475475,8.19362498543945,8.17660102,0.13925219808,18,-0.022872076,0.0723971671525141,0.38344,0.0757859899520485,0.057746676,0.048260785152,11,0.048013336,0.0894714569047904,0.531326,0.101382451480086,0.062918176,0.060493438528,10,-0.283780376,0.315327458996541,0.816441,0.423751085632035,0.284654368,0.297695932096,1,8.219006538555,0.531457820833354,0,0.64789014,0.4,0.275324926199908,0,8.17660102,0.8,0.062295791024276,1.6,0.055341529513862,0.4,0.408052827545966,3
-2.522588384,0.774126460534917,3.60088,2.63824313604422,2.522588384,0.727198254208,1,-0.338631108,0.14477364887707,0.834379,0.368166537149769,0.340029324,0.097886815904,18,7.713476208,0.529330395327951,7.65546,7.73154480787187,7.713476208,0.256144010688,6,-0.00207733200000001,0.0700274989147463,0.258469,0.0699181700995957,0.062843572,0.062694004096,3,0.107049676,0.130109532518736,0.76155,0.168286688784764,0.121607068,0.096688636096,9,-0.111159616,0.137352268282332,0.463111,0.176484116138422,0.138387824,0.130064942144,1,8.16107607709433,0.520171256911083,0,2.522588384,0,0.338631108,0,7.713476208,0.4,0.080734527521693,0,0.107049676,0.4,0.172620792297965,3
-0.390403336,0.344130861900073,1.374272,0.519968374684046,0.445335888,0.29272123968,13,-1.036593544,0.137855141179714,1.209072,1.04568360379819,1.036593544,0.107796927424,13,8.120615028,0.514502119834455,7.898472,8.13683243127007,8.120615028,0.12036097328,22,-0.021612244,0.0368613540332572,0.186523,0.0426663037325241,0.035939372,0.028165184864,13,0.083856784,0.083919828232161,0.356794,0.118517203996112,0.099313768,0.068937368192,11,-0.21963972,0.168948572195771,0.510809,0.276895381269677,0.230564688,0.15431767328,2,8.20386552449789,0.519164625219734,0.4,0.391166496102873,0,1.036593544,0,8.120615028,0.4,0.0236477736231139,0,0.083856784,0,0.21963972,3
-0.33984738,0.395663369990923,1.921347,0.520979410376291,0.413052444,0.3366590056,8,-2.089606528,0.20445752114802,2.528277,2.09954545278315,2.089606528,0.123459580032,22,7.940504028,0.494219342402604,7.724891,7.95580793923882,7.940504028,0.123277775072,26,-0.010084048,0.0289365236831441,0.133231,0.0305885785436329,0.024421808,0.023568741376,12,0.063593936,0.154047003832789,0.761017,0.16637231190397,0.11583764,0.109572756544,9,-0.207961192,0.215805163161831,0.642441,0.299388440577748,0.24982352,0.203512446208,1,8.22879678453605,0.512194760902041,0.4,0.414040843899701,0,2.089606528,0,7.940504028,0.4,0.0311816000708809,0.4,0.157300438578112,0.4,0.261396204667808,3
0.244146344,0.488177348454969,2.096124,0.544950724688858,0.413493032,0.41523810528,7,-0.754939648,0.221428471787539,1.230619,0.786618279706273,0.758942752,0.154216463872,11,8.169030504,0.523231272637722,8.195352,8.18570310090037,8.169030504,0.148576923328,21,-0.044577024,0.0380452755366295,0.152683,0.058555651199453,0.04765092,0.0318152208,9,-0.051119228,0.096442841155831,0.50095,0.108982531605226,0.08246378,0.078823228832,8,0.281942868,0.262572568394399,0.762083,0.384916038993706,0.311162076,0.247758285344,1,8.22469313816914,0.526313283167422,0.8,0.42523232360579,0,0.754939648,0,8.169030504,0,0.044577024,0.4,0.0916650384248161,0.4,0.325420619877554,2
